epoch,split,loss,accuracy,precision,recall,f1,mcc,auroc,auprc,tp,fp,tn,fn
0,train,0.121003,0.977812,0.016929,0.0517,0.025507,0.019801,0.663825,0.011283,10067,584576,33201706,184651
0,val,0.041114,0.994184,0.388175,0.003096,0.006143,0.034254,0.939496,0.087449,151,238,8481486,48625
1,train,0.040505,0.994244,0.218697,0.001982,0.003929,0.020335,0.93905,0.081857,386,1379,33784903,194332
1,val,0.040546,0.994188,0.75,0.000246,0.000492,0.013519,0.935178,0.096192,12,4,8481720,48764
2,train,0.039539,0.994131,0.309429,0.002393,0.00475,0.026786,0.947222,0.100199,466,1040,33785242,194252
2,val,0.039832,0.994182,0.378151,0.00369,0.007309,0.036898,0.941063,0.099201,180,296,8481428,48596
3,train,0.037832,0.994277,0.355857,0.005382,0.010604,0.043185,0.951868,0.112157,1048,1897,33784385,193670
3,val,0.039733,0.994187,0.40404,0.00164,0.003267,0.025452,0.940544,0.098281,80,118,8481606,48696
4,train,0.037363,0.99422,0.398494,0.012772,0.024751,0.070525,0.954321,0.126236,2487,3754,33782528,192231
4,val,0.03964,0.994177,0.336957,0.003178,0.006296,0.032261,0.939553,0.099729,155,305,8481419,48621
5,train,0.036745,0.994159,0.384918,0.019084,0.036365,0.084687,0.956995,0.137971,3716,5938,33780344,191002
5,val,0.04,0.994134,0.295185,0.008672,0.01685,0.049762,0.940807,0.094983,423,1010,8480714,48353
6,train,0.035413,0.994267,0.433144,0.029047,0.054443,0.111024,0.959445,0.156387,5656,7402,33778880,189062
6,val,0.042123,0.994188,0.405896,0.00367,0.007274,0.038162,0.920402,0.092986,179,262,8481462,48597
7,train,0.035904,0.994089,0.413272,0.038445,0.070347,0.124692,0.958887,0.159691,7486,10628,33775654,187232
7,val,0.039748,0.994168,0.386857,0.012793,0.024767,0.069516,0.937471,0.105096,624,989,8480735,48152
8,train,0.034846,0.994049,0.394793,0.056774,0.099273,0.148026,0.962443,0.172937,11055,16947,33769335,183663
8,val,0.039964,0.994152,0.364121,0.012609,0.024373,0.066892,0.937652,0.104204,615,1074,8480650,48161
9,train,0.033851,0.994104,0.444393,0.078637,0.133628,0.185152,0.965574,0.198431,15312,19144,33767138,179406
9,val,0.040891,0.993972,0.258703,0.022245,0.040967,0.074415,0.930206,0.099837,1085,3109,8478615,47691
10,train,0.032493,0.994148,0.459676,0.109184,0.176455,0.222024,0.968575,0.22888,21260,24990,33761292,173458
10,val,0.043323,0.994148,0.304798,0.006643,0.013002,0.044282,0.91265,0.096633,324,739,8480985,48452
11,train,0.031723,0.994077,0.460776,0.141533,0.21655,0.253145,0.971546,0.250914,27559,32251,33754031,167159
11,val,0.040855,0.993369,0.193817,0.047687,0.076542,0.093636,0.935378,0.094312,2326,9675,8472049,46450
12,train,0.032746,0.993933,0.419769,0.124097,0.191563,0.225961,0.968383,0.218349,24164,33401,33752881,170554
12,val,0.047856,0.990099,0.151872,0.160714,0.156168,0.151238,0.944349,0.10012,7839,43777,8437947,40937
13,train,0.032298,0.99415,0.445617,0.108613,0.174657,0.217948,0.969674,0.225285,21149,26311,33759971,173569
13,val,0.043606,0.994013,0.246407,0.016873,0.031583,0.063177,0.906853,0.09015,823,2517,8479207,47953
14,train,0.029299,0.994295,0.492947,0.190778,0.275092,0.30431,0.975088,0.299271,37148,38211,33748071,157570
