epoch,split,loss,accuracy,precision,recall,f1,mcc,tp,fp,tn,fn
0,train,0.026149,0.995068,0.000528,0.010077,0.001004,0.00123,1059,2003641,422770921,104035
0,val,0.003012,0.999755,0.0,0.0,0.0,0.0,0,0,106324892,25996
1,train,0.002988,0.999749,0.042364,0.000771,0.001514,0.005682,81,1831,424772731,105013
1,val,0.002651,0.999755,0.0,0.0,0.0,0.0,0,0,106324892,25996
2,train,0.002734,0.999753,0.052632,1.9e-05,3.8e-05,0.000996,2,36,424774526,105092
2,val,0.0026,0.999755,0.0,0.0,0.0,0.0,0,0,106324892,25996
3,train,0.002649,0.999753,0.02439,1e-05,1.9e-05,0.000477,1,40,424774522,105093
3,val,0.002555,0.999755,0.0,0.0,0.0,0.0,0,0,106324892,25996
4,train,0.002583,0.999753,0.21875,0.000133,0.000266,0.005393,14,50,424774512,105080
4,val,0.00251,0.999755,1.0,3.8e-05,7.7e-05,0.006201,1,0,106324892,25995
5,train,0.002518,0.999752,0.273077,0.000676,0.001348,0.013572,71,189,424774373,105023
5,val,0.002458,0.999755,0.47619,0.000385,0.000769,0.013529,10,11,106324881,25986
6,train,0.002457,0.999752,0.29558,0.002036,0.004045,0.024516,214,510,424774052,104880
6,val,0.002404,0.999755,0.508197,0.001192,0.002379,0.024609,31,30,106324862,25965
7,train,0.002386,0.999751,0.345395,0.004996,0.009849,0.041514,525,995,424773567,104569
7,val,0.00237,0.999755,0.490566,0.002,0.003984,0.031314,52,54,106324838,25944
8,train,0.002333,0.999751,0.364634,0.008535,0.01668,0.055757,897,1563,424772999,104197
8,val,0.00234,0.999755,0.518797,0.002654,0.005281,0.037095,69,64,106324828,25927
9,train,0.002281,0.999751,0.396653,0.01218,0.023633,0.069471,1280,1947,424772615,103814
9,val,0.002331,0.999756,0.7,0.005385,0.010689,0.061385,140,60,106324832,25856
10,train,0.002217,0.999751,0.419265,0.020087,0.038337,0.091727,2111,2924,424771638,102983
10,val,0.002285,0.999756,0.53539,0.011348,0.022225,0.07792,295,256,106324636,25701
11,train,0.002185,0.999751,0.427814,0.025349,0.047862,0.104091,2664,3563,424770999,102430
11,val,0.00227,0.999756,0.545455,0.009463,0.018603,0.071821,246,205,106324687,25750
